iso,beta1_waid,beta2_waid,var11,var12,var22
CRI,-0.015209259297630937,-0.0016305151114163197,4.11317447948888e-7,-9.566561332128167e-8,3.592627580890026e-8
CUB,-0.018607487990349322,-5.631022325369231e-4,4.5436312094270896e-7,-1.3442358882380775e-7,5.4907030342627904e-8
CYM,-0.016210836659783734,-6.228296936574076e-4,4.6733868338827407e-7,-1.4986648788787184e-7,6.417223502426814e-8
CYP,-0.02332542146220315,6.030547919128812e-4,5.865337023415588e-7,-1.7531023712531875e-7,6.692546712292408e-8
CZE,-0.009619327280275418,-0.001215166256889038,1.3252290819181663e-6,-4.715850213008867e-7,2.2750364332776834e-7
DEU,-0.009089655081667987,-0.0013103698216237435,8.45438057394e-7,-3.1747120442377527e-7,1.59999693649583e-7
DJI,-0.026763937529828738,0,2.6237371602356e-7,0,0
DMA,-0.016790983857738095,0,4.10496746849445e-8,0,0
DNK,-0.0023506027161865235,-0.0015121740236089965,4.4619870319404505e-7,-1.1057208695042277e-7,3.7484646168749815e-8
DOM,-0.0210194166875233,0,1.6889676631066443e-7,0,0
DZA,-0.0290997612911922,0,3.304223010861282e-7,0,0
ECU,-0.011802598274268633,-0.0021801455605164125,8.817900395966801e-7,-4.144706712459344e-7,2.4838446904846475e-7
EGY,-0.027089805251378708,0,2.8322186939847524e-7,0,0
ERI,-0.025090441085952802,0,2.652829450893301e-7,0,0
ESH,-0.03410042467077066,0,3.773230342710029e-7,0,0
ESP,-0.023030920871215808,0,1.734883357995846e-7,0,0
EST,0.004421605713255771,-0.0021992490710516467,1.0037552619614055e-6,-2.8099976056935746e-7,1.066165705829086e-7
ETH,-0.01945057257208113,0,3.897913417526118e-7,0,0
FIN,0.006142776274811904,-0.0020070122165113603,8.396360064160044e-7,-1.9126740602777432e-7,5.845831137409625e-8
FJI,-0.01256067473142488,-4.40298555021746e-4,1.5481500082171084e-7,-4.846982650640647e-8,2.1253886077665797e-8
FRA,-0.014737512721941598,-7.439745679768267e-4,7.238737283289602e-7,-2.425065375905856e-7,1.1094096237403242e-7
FRO,0.009881877699243665,-0.0020398387658929727,8.983662582033651e-7,-2.549389368214056e-7,9.310522332154088e-8
FSM,-0.013144077697882478,-4.831541226854724e-4,3.104106032253566e-7,-1.0366088872876164e-7,5.0799668714986425e-8
GAB,-0.01761965636344505,-0.001238890050101249,9.993949247049513e-7,-2.2014804079153641e-7,8.590167588725205e-8
GBR,-0.005418061460616616,-9.71821643824802e-4,3.6303907549490794e-7,-1.1189303980930348e-7,4.64082869479414e-8
GEO,-0.014507785119751343,-9.464999310666578e-4,5.724269573096703e-7,-1.5182349166740913e-7,4.900016834154536e-8
GGY,-0.008026455839858074,-6.909814785771122e-4,3.2027312487479074e-7,-8.319079346868405e-8,3.0283022843663855e-8
GHA,-0.02190068905887184,-7.256108478928824e-4,9.199794693664836e-7,-2.2879906448459433e-7,8.366775825924163e-8
GIN,-0.02294764602560094,-9.844152904380649e-4,1.4276867353843e-6,-3.4094439660052835e-7,1.0695607473118789e-7
